q_mccp_c	Type 1	Type 2	Type 3	Type 4	Type 5	Type 1	Type 2	Type 3	Type 4	Type 5
202.535224035065	0.199608270715896	0.214537493135277	0.215283482366208	0.200840441587305	0.213701055300386	6530.56048682317	7519.85233538031	7566.37899212192	6605.85442852626	7457.75997551108
303.80283605761	0.214331455725319	0.223010109348748	0.223546836491155	0.215558870083216	0.222061928302902	7495.98311149642	8142.50958773184	8178.54704155477	7582.46829250299	8067.11803288157
405.070448080134	0.221521448010911	0.227328276540955	0.227748055884122	0.222748449861574	0.226317627817322	8022.28076774135	8482.56891981051	8511.89552657847	8115.50328877725	8399.17014025313
506.338060102543	0.225660720689841	0.229948774226489	0.230293629432211	0.226888201117669	0.22889813286354	8344.31049126153	8697.2301659405	8721.92953165722	8441.89970861729	8608.48400742642
607.605672124975	0.228308586414351	0.231709029236504	0.232001720979411	0.229536687831934	0.23063056663256	8558.28348162543	8845.16605331517	8866.4905581495	8658.88298566069	8752.59637983804
708.873284147417	0.230131686126946	0.232973167218537	0.233227431649019	0.231360371335218	0.231874224418607	8709.43462649739	8953.34132875802	8972.09843588443	8812.21507501459	8857.90203854153
810.140896169865	0.231456422815261	0.233925127049614	0.234149897625085	0.232685617337914	0.232810475087779	8821.3032389331	9035.90247251686	9052.64198933821	8925.72768374555	8938.23015775222
911.40850819232	0.232459263153402	0.234667885446282	0.234869301049342	0.23368889312309	0.233540800708658	8907.16176568353	9100.99126065644	9116.10399677697	9012.86555029514	9001.53186619055
1012.67612021477	0.233243134887858	0.235263599794218	0.235446061473664	0.234473136234357	0.234126429756438	8974.99229867933	9153.62715633948	9167.40066364356	9081.71776335263	9052.70518592597
1113.94373223724	0.233871777999843	0.235752015517344	0.23591878642837	0.235102097392323	0.234606499782102	9029.85419326931	9197.07391772767	9209.72584073272	9137.41317104568	9094.93285435677
1215.2113442597	0.234386620566402	0.236159734437097	0.236313301265031	0.235617214136822	0.235007198037703	9075.09633966836	9233.54586817549	9245.24486495028	9183.34755114195	9130.37307113071
1316.47895628216	0.234815682192924	0.236505234143042	0.236647535496969	0.236046513861192	0.23534670963427	9113.01724450426	9264.5984815791	9275.47787690211	9221.85209122338	9160.54120330757
1417.74656830462	0.235178554974683	0.23680174998843	0.236934326525757	0.236409594930489	0.235638057657505	9145.24360604963	9291.35654703185	9301.52354550499	9254.57691360099	9186.53261718775
1519.01418032708	0.235489330140141	0.237059011339784	0.237183107760122	0.236720553587181	0.235890813675958	9172.95726587896	9314.65362751149	9324.19571116752	9282.72105951265	9209.15880172554
1620.28179234955	0.235758390663451	0.237284330538764	0.237400966856074	0.236989776821351	0.236112170279498	9197.03654354622	9335.12061021214	9344.11009242616	9307.17574654752	9229.03375949652
