q_mhcp_h	Type 1	Type 2	Type 3	Type 4	Type 5	Type 1	Type 2	Type 3	Type 4	Type 5
228.274531746229	0.210889982431281	0.219846383789341	0.22069756678927	0.215510676669799	0.215670591018065	7264.06735347732	7909.01896176509	7964.60465374419	7585.08571640252	7600.22041629604
342.411797619343	0.218258125986644	0.224897374899278	0.225459724811616	0.220396334282968	0.223050459096558	7780.91614493777	8291.22290289971	8329.6419267404	7938.7702429838	8144.55205279614
456.549063492457	0.221521448010911	0.227328276540955	0.227748055884122	0.222748449861574	0.226317627817322	8022.28076774135	8482.56891981051	8511.89552657847	8115.50328877725	8399.17014025313
570.686329365572	0.2233346663137	0.228757401209505	0.229092256732347	0.224131523954237	0.228132563309862	8159.93310747664	8597.43259553481	8621.14016706417	8221.48778378825	8544.49923960508
684.823595238686	0.22448150896383	0.229698091770061	0.229976594940905	0.225042017699427	0.229280323721548	8248.35045159911	8674.02695608331	8693.92020384047	8292.11664283764	8637.8925001701
798.9608611118	0.22526997014935	0.230364169142987	0.230602551431431	0.225686770864129	0.230069336273445	8309.75977500237	8728.74486036907	8745.88009695382	8342.55103446117	8702.77837861547
913.098126984915	0.225844426419117	0.230860554716348	0.231068918506275	0.226167296571472	0.230644151990294	8354.82513966586	8769.7869277912	8784.83532393143	8380.36823849082	8750.40571520559
1027.23539285803	0.226281190157973	0.231244762811197	0.23142982191354	0.226539247906147	0.231081164577706	8389.27332628348	8801.71045823107	8815.12488648613	8409.77631385012	8786.8183726641
1141.37265873114	0.226624270999687	0.231550956504226	0.231717399095971	0.22683568562144	0.231424425803681	8416.44535314495	8827.25038140157	8839.35078441461	8433.29932837997	8815.54364607071
1255.50992460426	0.226900786442933	0.231800705875217	0.231951934852427	0.227077485433282	0.231701076827611	8438.4180494591	8848.14735018773	8859.16811056248	8452.5430992546	8838.77476674556
1369.64719047737	0.227128337351102	0.232008300575576	0.232146864004572	0.227278477873381	0.231928732665339	8456.54877297209	8865.56191760025	8875.67985982139	8468.57794193894	8857.94548279193
1483.78445635049	0.227318836909982	0.232183582332753	0.232311437630856	0.227448188962668	0.232119315410744	8471.76141628019	8880.29760477675	8889.64941094119	8482.14470870577	8874.03185438027
1597.9217222236	0.227480631861623	0.23233355056373	0.232452233949566	0.227593393891022	0.232281177653206	8484.70628809825	8892.92838931175	8901.62189254133	8493.77249646834	8887.72100976182
1712.05898809672	0.227619741821332	0.232463319328934	0.232574058574956	0.22771904307861	0.232420342983364	8495.85421251039	8903.87520781949	8911.99697586862	8503.84925652208	8899.51049103258
1826.19625396983	0.227740616152654	0.232576712061616	0.232680503885709	0.227828837738652	0.232541263549415	8505.55435021921	8913.45377470202	8921.07435573725	8512.66591740841	8909.76931111566
